Location name,Amount spent (HUF)
Baranya County,115388
Borsod-Abaúj-Zemplén County,170912
Budapest,871913
Bács-Kiskun County,131775
Békés County,95514
Csongrád County,147990
Fejér County,132626
Győr-Moson-Sopron County,121617
Hajdú-Bihar County,122136
Heves County,83932
Jász-Nagykun-Szolnok County,105641
Komárom-Esztergom County,88519
Nógrád County,46975
Pest County,356587
Somogy County,74298
Szabolcs-Szatmár-Bereg County,122576
Tolna County,58222
Unknown,≤100
Vas County,78772
Veszprém County,104227
Zala County,71079
