Location name,Amount spent (RON)
Alba County,580
Arad County,819
Argeș County,821
Bacău County,674
Bihor County,829
Bistrița-Năsăud County,406
Botoșani County,567
Brașov County,1055
Brăila County,384
Bucharest,4194
Buzău County,754
Caraș-Severin County,284
Cluj County,1306
Constanța County,964
Covasna County,401
Călărași County,295
Dolj County,803
Dâmbovița County,635
Galați County,693
Giurgiu County,389
Gorj County,626
Harghita County,704
Hunedoara County,537
Ialomița County,243
Iași County,967
Ilfov County,605
Maramureș County,724
Mehedinți County,483
Mureș County,1117
Neamț County,1094
Olt County,400
Prahova County,1274
Satu Mare County,460
Sibiu County,672
Suceava County,879
Sălaj County,286
Teleorman County,267
Timiș County,1209
Tulcea County,219
Unknown,≤100
Vaslui County,344
Vrancea County,376
Vâlcea County,471
