Location name,Amount spent (USD)
Alabama,8328
Alaska,2508
American Samoa,≤100
Arizona,19866
Arkansas,5279
California,69339
Colorado,11676
Connecticut,7796
Delaware,1837
Florida,51610
Georgia,23811
Guam,≤100
Hawaii,2295
Idaho,5985
Illinois,38090
Indiana,18486
Iowa,6994
Kansas,8605
Kentucky,9389
Louisiana,9003
Maine,5117
Maryland,14610
Massachusetts,11752
Michigan,26542
Minnesota,13990
Mississippi,6374
Missouri,13879
Montana,3249
Nebraska,3225
Nevada,8509
New Hampshire,3071
New Jersey,18051
New Mexico,5881
New York,45383
North Carolina,21612
North Dakota,1268
Ohio,23047
Oklahoma,9863
Oregon,9759
Pennsylvania,29124
Puerto Rico,≤100
Rhode Island,1682
South Carolina,9929
South Dakota,1597
Tennessee,14920
Texas,58937
Unknown,≤100
Utah,5273
Vermont,1481
Virgin Islands (U.S.),≤100
Virginia,24640
Washington,14249
"Washington, District of Columbia",7868
West Virginia,4434
Wisconsin,44109
Wyoming,1154
