Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
105560941738247,Movilizando Chilenos,Movilizando Chilenos,239696,4
117807634946410,Sociedad de Fomento Fabril (Sofofa),Sociedad de Fomento Fabril (Sofofa),214311,2
1548643738480723,Asistencia Deudores,Asistencia Deudores,162524,10
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,137074,9
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,128627,6
8093963076,Techo - Chile,Pago por TECHO Chile con créditos de anuncios de Facebook,97147,6
356972484624,Gensuite,Gensuite,86623,6
221901754840837,Acciona.Chile,ACCIONA Chile,83501,11
105798328215264,Asistencia Familia,Asistencia Familia,80985,2
342240665893084,Rojo Edwards,Rojo Edwards,64838,17
184559421980613,Vlado Mirosevic Diputado,Vlado Mirosevic Verdugo,64304,2
580663538777736,Consejo Minero,Feedback Comunicaciones,61490,2
643513979193133,Unidos por Beatriz,Neuma,58641,8
429657563782175,Vlado Mirosevic Verdugo,Vlado Mirosevic Verdugo,49650,3
285417644878678,Red Antofagasta,Diarios en Red,47968,14
371453409556353,Red Coquimbo,Diarios en Red,37758,7
351583768232100,Red Tarapaca,Diarios en Red,37638,7
307330256067716,Red Atacama,Diarios en Red,37253,7
280326368663728,Asociación de Industriales de Iquique,Asociacion de Industriales Iquique,36837,7
266574477169217,Ciudadano Videla Diputado,Elias Vaca Sanchez,35149,1
103527991214141,Cero DICOM,Cero Dicom,34713,8
756450494522524,Andrés Jouannet Diputado,Andrés Alfonso Jouannet Valderrama,33634,12
761606963919174,Somos Aclara,Somos Aclara,32273,4
343265652503533,Municipalidad de Puchuncaví,Ilustre Municipalidad de Puchuncaví,30776,4
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,30000,1
109339288407350,Santuario Quitralco,Santuario Quitralco,29028,2
100537472438913,Futuro Madera,Futuro Madera,27023,4
26929188652,El Observatodo,MiVoz.cl,26352,41
1070031906390025,Camila Polizzi,Camila Alondra Polizzi Fonceca,24028,1
198921630648476,Vidrios Lirquen,Vidrios Lirquen,22669,1
103030962615298,Chile YAAC,Chile YAAC,18958,6
101041179311464,Integradora Thinking,Integradora Thinking,18298,7
600661340080888,Municipalidad de Salamanca,Municipalidad de Salamanca,16341,1
104224427947088,Circula el Plástico,Metrix,15215,4
391338058160314,Desafío Chile Sin Basura,Benjamín Jose Cruz Pacheco,13846,2
463509033710164,Walmart Chile Vivamos Mejor,These ads ran without a disclaimer,13436,2
101439071476201,Laboratorio Chile - Teva,Laboratorio Chile S.A.,12813,1
102422525535808,FARMACIAS PUNTO BLANCO,Ranko Frane Lenac Pizarro,11014,3
112660017529864,José Arellano Blanco - Concejal por Alhué,José Andrés Arellano Blanco,10671,1
858031627672805,Diputado Diego Schalper,Diego Ignacio Schalper Sepulveda,10270,2
115447711895370,Good Neighbors Chile,These ads ran without a disclaimer,9899,1
968772086505075,Gerardo Espíndola Rojas,Gerardo Alfredo Espíndola Rojas,8620,1
1495254187392769,Ilustre Municipalidad de Rancagua,Ilustre Municipalidad de Rancagua,8425,5
1257818931046767,Azerta Chile,Azerta,7106,5
337766483715142,Tremendas_cl,TREMENDAS with Facebook ad credits,7000,4
350025708997760,Minera Vizcachitas,Minera Vizcachitas,6764,1
101326581302605,Desafío 10X,Fundación 10X,6508,4
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,6042,5
100920822361338,Jorge Sepúlveda Diputado,Jorge Alejandro Sepulveda Rosales,5896,2
239724839481005,Municipalidad de Vicuña,Brecha Digital Consultores,5434,9
558224964238853,Anglo American,Anglo American,5102,1
478976528820583,I. Municipalidad de La Granja,Brecha Digital Consultores Ltda.,4840,7
78239901502,Diario Financiero,Grupo DF,4701,6
