Location name,Amount spent (LBP)
Beirut Governorate,2898714
Beqaa Governorate,1093830
Mount Lebanon Governorate,1978590
Nabatieh Governorate,384310
North Governorate,1476431
South Governorate,739792
Unknown,≤100
