Location name,Amount spent (PYG)
Alto Paraguay Department,65894
Alto Paraná Department,6182540
Amambay Department,596791
Asunción,5379862
Boquerón department,249078
Caaguazú Department,2303999
Caazapá Department,466614
Canindeyú Department,625936
Central Department,12609622
Concepción Department (Paraguay),619764
Cordillera Department,1378317
Guairá Department,831372
Itapúa Department,2304167
Misiones Department,776242
Paraguarí Department,650728
Presidente Hayes Department,550104
San Pedro Department,1250709
Unknown,708
Ñeembucú Department,394493
