Location name,Amount spent (CAD)
Alberta,18813
British Columbia,8305
Manitoba,4022
New Brunswick,818
Newfoundland and Labrador,827
Northwest Territories,146
Nova Scotia,1298
Nunavut,≤100
Ontario,22269
Prince Edward Island,255
Quebec,10402
Saskatchewan,2924
Unknown,≤100
Yukon,≤100
