Location name,Amount spent (EGP)
Al Sharqia Governorate,666
Alexandria Governorate,639
Aswan Governorate,≤100
Asyut Governorate,251
Beheira Governorate,475
Beni Suef Governorate,176
Cairo Governorate,2089
Dakahlia Governorate,770
Damietta Governorate,267
Faiyum Governorate,151
Gharbia Governorate,1041
Giza Governorate,614
Ismailia Governorate,164
Kafr el-Sheikh Governorate,486
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,312
Monufia Governorate,504
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,≤100
Qalyubia Governorate,604
Qena Governorate,189
Red Sea Governorate,≤100
Sohag Governorate,264
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
