Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
122074554119,EU Social,EU Social,10512,7
2214398435317853,CNN Prima NEWS,FTV Prima,4828,2
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,4293,17
361281313901258,Komerční banka,"Komerční banka, a.s.",3686,27
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,3207,1
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",2897,4
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,2370,8
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,2089,2
90002267161,TOP 09,TOP 09,1668,15
107898832590939,European Commission,European Commission,1661,4
134443820058669,Zbyněk Stanjura,ODS - Občanská demokratická strana,1446,4
251656685576,KDU-ČSL,KDU-ČSL,1441,6
579215965436046,JSNS,JSNS,1440,13
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,1218,2
186325994736589,Hnutí Pro život ČR,Hnutí Pro život ČR,1161,1
111041662264882,ČSSD,ČSSD,1131,1
214827221987263,Andrej Babiš,Andrej Babiš,928,4
178362315106,European Parliament,European Parliament,902,11
424114981002397,Český rozhlas Plus,Český rozhlas,708,21
356382154550156,e.on,These ads ran without a disclaimer,661,1
267751653384029,Pardubický kraj,Pardubický kraj,649,1
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,646,7
574107592700484,Ministerstvo průmyslu a obchodu,Ministerstvo průmyslu a obchodu,631,12
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,625,3
693725074166331,Naše zdravotnictví,Naše zdravotnictví,564,3
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,549,5
356451014434612,Marian Jurečka,KDU-ČSL,517,4
192011067504855,Do práce na kole - AutoMat,"AutoMat, z.s.",504,1
733410133337387,Michaela Šojdrová,Michaela Šojdrová,495,10
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,488,9
169946526003,Nadace Partnerství,Nadace Partnerství,474,2
1558359124403846,Každá plechovka se počítá,Každá plechovka se počítá,461,3
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",451,6
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,451,4
100505211433010,Hejtmanka Petra Pecková,Starostové a nezávislí,446,4
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,443,3
109323929038,Česká pirátská strana,Česká pirátská strana,437,2
171936526824,EKONOM.cz,"Economia, a.s.",420,2
112518823477332,Koridor D8,KORIDOR D8,416,1
56987874554,Liga otevřených mužů,Liga otevřených mužů,395,1
257529307701966,Jiří Pospíšil,TOP 09,370,3
102355962823703,Vysočina je nejvíc,Občanská demokratická strana,360,4
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,351,2
106725941551702,Daniela Kovářová,Daniela Kovářová,349,3
58864692622,Český rozhlas Vltava,Český rozhlas,341,3
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,341,7
280617905401953,Alexandra Udženija,Občanská demokratická strana,340,1
208305983064,ELLE,These ads ran without a disclaimer,338,1
460558621177512,Zálohujme.cz,Zálohujme,334,3
103618366059573,Nanobala,These ads ran without a disclaimer,333,1
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,323,1
317158175535179,BitLife,These ads ran without a disclaimer,312,1
101279652413889,SPOLU pro Prahu,SPOLU Praha,305,1
313971562018913,STAN Středočeský kraj,Starostové a nezávislí,302,1
100843142503124,ZjistiVíc.cz,Zjisti víc,299,1
137301989386,Aktuálně.cz,Aktuálně.cz,296,2
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",288,10
983533828348884,Jana Komrsková - náměstkyně pro životní prostředí,Česká pirátská strana - Praha,283,2
117823623864,Transparency International ČR,Transparency International ČR,280,3
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",276,1
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,269,2
117839867984599,Chat Genius,These ads ran without a disclaimer,269,1
587682004653785,Piráti Praha,Česká pirátská strana - Praha,268,1
110208494972750,"Eva Rajchmanová, senátorka za Hodonínsko, Kyjovsko a Veselsko",KDU-ČSL,267,8
1458827397686128,Koalice Vlasta,Koalice Vlasta,262,3
188866358684457,Fuchs2,Fuchs2,262,2
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",248,2
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",224,1
1410403182565683,Petr Hladík,KDU-ČSL,221,3
104087131747633,Zaostřeno,Zaostřeno,220,1
105410686588,Piráti Brno,Česká pirátská strana - Jihomoravský kraj,218,4
551976351670874,Zdeněk Hraba,Zdeněk Hraba - senátor,218,5
123858471641,iROZHLAS.cz,Český rozhlas,210,2
321762510282,Michal Kučera,Michal Kučera,208,3
105959931114296,Jan Schiller - politik,Jan Schiller - politik,208,2
111210916534,Příběhy bezpráví,"Člověk v tísni, o.p.s.",206,3
