Location name,Amount spent (THB)
Amnat Charoen,230
Ang Thong,147
Ayutthaya,1419
Bangkok,38982
Bueng Kan,183
Buriram,688
Chachoengsao,3390
Chai Nat,3402
Chaiyaphum,825
Chanthaburi,326
Chiang Mai,1922
Chiang Rai,911
Chon Buri,21259
Chumphon,2577
Kalasin,516
Kamphaeng Phet,526
Kanchanaburi,1243
Khon Kaen,1963
Krabi,424
Lampang,495
Lamphun,280
Loei,314
Lop Buri,304
Mae Hong Son,295
Maha Sarakham,632
Mukdahan,242
Nakhon Nayok,127
Nakhon Pathom,2648
Nakhon Phanom,343
Nakhon Ratchasima,1942
Nakhon Sawan,1394
Nakhon Si Thammarat,2260
Nan,421
Narathiwat,898
Nong Bua Lam Phu,318
Nong Khai,336
Nonthaburi,1417
Pathum Thani,1552
Pattani,400
Phangnga,325
Phatthalung,1324
Phayao,1155
Phetchabun,347
Phetchaburi,573
Phichit,640
Phitsanulok,3154
Phrae,263
Phuket,22429
Prachin Buri,258
Prachuap Khiri Khan,663
Ranong,614
Ratchaburi,1221
Rayong,1777
Roi Et,602
Sa Kaeo,242
Sakon Nakhon,675
Samut Prakan,4213
Samut Sakhon,1308
Samut Songkhram,545
Saraburi,405
Satun,429
Sing Buri,360
Sisaket,632
Songkhla,11618
Sukhothai,753
Suphan Buri,843
Surat Thani,14509
Surin,825
Tak,259
Trang,1124
Trat,110
Ubon Ratchathani,1186
Udon Thani,1034
Unknown,≤100
Uthai Thani,179
Uttaradit,247
Yala Province,354
Yasothon,374
