Location name,Amount spent (DKK)
Capital Region of Denmark,44527
Central Denmark Region,25403
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,10961
Region of Southern Denmark,20932
Unknown,≤100
Zealand Region,13726
