Location name,Amount spent (PYG)
Alto Paraguay Department,71301
Alto Paraná Department,9798459
Amambay Department,1193101
Asunción,9030767
Boquerón department,413113
Caaguazú Department,3090266
Caazapá Department,762886
Canindeyú Department,1730047
Central Department,22350486
Concepción Department (Paraguay),1127280
Cordillera Department,2161701
Guairá Department,1663172
Itapúa Department,3937704
Misiones Department,1378199
Paraguarí Department,1118423
Presidente Hayes Department,726557
San Pedro Department,1495610
Unknown,5240
Ñeembucú Department,972016
