Location name,Amount spent (DKK)
Capital Region of Denmark,41936
Central Denmark Region,21652
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,10138
Region of Southern Denmark,20870
Unknown,≤100
Zealand Region,16130
