Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
311627208673,WWF UK,WWF UK,5103,51
102639461303190,Fair Pay For All,Fair Pay For All,3453,114
7214031395,Oxfam Great Britain,Oxfam Great Britain,3242,85
9250349228,Greenpeace UK,Greenpeace UK,3011,19
35671512696,World Animal Protection UK,World Animal Protection UK,2769,100
321116781287149,e.on,E.ON UK,2693,14
7715002593,UNICEF UK,Unicef UK,2573,33
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,2333,44
158077247591710,Refuge,Refuge,2174,132
10677003998,Shelter,Shelter,1590,218
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),1480,20
7043497714,Christian Aid,Christian Aid,1385,39
186622728032,RSPB,RSPB,1371,102
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,1216,30
407834355957354,NatWest Business,NatWest Group plc,1192,12
13047522725,Crimestoppers,Crimestoppers,1156,73
121936349543,World Vision UK,World Vision UK,1129,56
799576543492660,The Week Junior,The Week Junior,1079,65
7527864602,WaterAid UK,WaterAid UK,892,46
117476785190,Save the Children UK,Save the Children UK,891,52
97708339756,Action for Children,Action for Children,867,18
116625838402686,FareShare,FareShare,841,108
101958682650112,ESG UK,Energy Saving Grants,717,72
208573062515662,Freedom from Torture,Freedom from Torture,635,15
212038972186253,Transport for London,Transport for London,603,4
569834799727730,National Grid UK,National Grid UK,601,4
220543443746,International Rescue Committee - UK,International Rescue Committee UK,587,27
59367068326,The Ramblers,The Ramblers,561,8
177855115588808,The Week UK,The Week UK,539,25
167898406587045,Holiday Extras,Holiday Extras,538,5
104768005247443,Say No To WHO,Say no to WHO,496,8
353224381469808,ifaw,IFAW,479,35
1634484040190637,VERSUS,VERSUS,460,4
6233536938,War Child UK,War Child UK,447,3
175338329150218,Help For Heroes,Help for Heroes,442,51
139695000173,Good Energy UK,Good Energy,437,152
40409120801,Refugee Council,Refugee Council,427,15
145720895488822,Back Up,Back-Up Trust,381,30
195754307110390,Right To Life UK,Right To Life UK,354,24
249209468838241,Good Law Project,Good Law Project,350,80
274651352565844,Oltco Ltd,Oltco Ltd,310,136
18044497940,Plan International UK,Plan International UK,308,8
109602554296513,Your Funded Energy Solution,Your Funded Energy Solution,298,25
529056943947948,Home Office,Home Office,287,4
