Location name,Amount spent (PYG)
Alto Paraguay Department,5003
Alto Paraná Department,190045
Amambay Department,53227
Asunción,243942
Boquerón department,12399
Caaguazú Department,66688
Caazapá Department,8627
Canindeyú Department,16625
Central Department,1010529
Concepción Department (Paraguay),15472
Cordillera Department,45462
Guairá Department,23068
Itapúa Department,55753
Misiones Department,69327
Paraguarí Department,15348
Presidente Hayes Department,20429
San Pedro Department,20945
Unknown,≤100
Ñeembucú Department,9488
