Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
301774903545521,Brasil Paralelo,Brasil Paralelo,39155,237
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,13136,300
286861344662855,Stella Artois,Ambev,11552,6
239665829565195,Cidade de São Paulo,Pago por Prefeitura de SP,10116,68
121116005943892,Saúde Não Se Pesa,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,4502,3
104625758942119,Siga Antenado,"ASSOCIACAO ADMINISTRADORA DA FAIXA DE 3,5 GHZ - EAF",4452,26
159103797542,Greenpeace Brasil,Greenpeace Brasil,4321,154
171169022896525,Guaraná Antarctica,Ambev,3438,1
112830251033781,Tiger,GRUPO HEINEKEN,3171,1
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,2790,36
330379553673497,Oxfam Brasil,Oxfam Brasil,1593,153
101189854802059,Revista Oeste,Revista Oeste,1573,10
113165042099382,Brasil 61,Brasil 61,1492,6
416907625028840,Governo do Estado de Minas Gerais,Governo de Minas Gerais,1492,2
130458937054870,Governo do Estado do Paraná,Governo do Estado do Paraná,1435,2
2109548659331951,Cursinho da Glória,Cursinho da Glória Eireli ME,1335,39
108742321417244,Gerson Aragão,SCIREJUS APLICATIVOS JURIDICOS LTDA,1278,167
105527742878890,Prefeitura do Recife,Prefeitura do Recife,1275,12
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,1253,24
176740279057602,CDL De Belo Horizonte,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,1175,14
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,1125,143
109226467222782,Brasil Sem Medo,Brasil Sem Medo,1122,193
263563620333111,Eduardo Braga,Carlos Braga,928,5
165175370206522,Citi Brasil,Citi Brasil,838,4
109354687306376,Instituto Conhecimento Liberta,Instituto Conhecimento Liberta,825,23
104738421003389,InvestNews BR,Easynvest,795,19
314916388685112,Deputado Val Ceasa,Roosevelt Barcelos,776,2
1534982756793690,Foodvisor,These ads ran without a disclaimer,774,1
170238043113891,Professor Rômulo Passos,Romulo Silva Passos,758,37
151756254136,Enel Brasil,Enel Brasil,623,20
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,590,71
157982450937286,Senador Carlos Viana,Carlos Alberto Dias Viana,553,2
1767220630177139,Animal Equality Brasil,Animal Equality Brasil,552,4
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,551,9
100261572206297,Coronel Assis,Jonildo Jose de Assis,542,1
123884341029248,João Jorge,JOÃO JORGE DE SOUZA,515,5
182498978485822,Vitrine Filmes,Vitrine Filmes,503,1
103920308461143,Observatório Social do Petróleo,Cajuína Produções e Mídia Digital,494,8
258088921369,TOTVS,TOTVS,493,5
615600128536767,Prefeitura de Sobral,Outcome Digital Strategy,481,4
288660317927031,Prefeitura Municipal de Araçatuba,PREFEITURA MUNICIPAL DE ARAÇATUBA,477,4
110225312350543,Nova Escola,Associação Nova Escola,466,20
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,436,19
170166996524709,Orlando Morando,Orlando Morando Junior,435,12
273642106068512,Paulo Alexandre Barbosa,Paulo Alexandre Pereira Barbosa,411,23
237597346269787,Marco Bertaiolli,Marco Bertaiolli,406,4
109272165397476,Gerson Aragao,SCIREJUS APLICATIVOS JURIDICOS LTDA,385,85
100958279167471,Dreame for DL3,These ads ran without a disclaimer,380,3
333720355130,Petrobras,Petrobras,367,21
1405025743082214,Coronel Alberto Feitosa,Alberto Jorge Feitosa,359,30
628221580602439,Pé de Figo,Heriberto Pozzuto,356,2
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,354,52
1087471917938156,Sistema Fecomércio RJ,Fecomércio RJ,335,7
109089705341701,rreis,These ads ran without a disclaimer,327,1
107809564197704,Cetur - Conselho Empresarial de Turismo da CNC,"CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO - CNC",319,54
478752158813845,Maurício Eskudlark Deputado,Assinatura Do Titular,318,10
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,318,7
167035830067775,Prefeitura de Canoas,PREFEITURA DE CANOAS,314,2
348704312899125,foconofato,FOCO NO FATO,311,19
109591311961445,Brasil em Ruínas,Marco Aurelio Machado,303,2
1423260667905496,Câmara Municipal de Salvador,Câmara Municipal de Salvador,303,6
124632230915020,Luciana Genro,Luciana Krebs Genro,302,10
520803328039440,Recicla Sampa,Eco Urbis e Loga,302,50
110627197066277,Leandra Prefeita,Leandra Guedes Ferreira,302,2
1548396448770497,Prefeitura Municipal de Araxá,Prefeitura de Araxá,296,4
106670505267397,O Diário da Capital,DIARIO DA CAPITAL PUBLICIDADE E COMUNICACAO LTDA,288,7
534805630341699,Idecan Oficial,"INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL",285,13
270534889645562,Prefeitura de Extrema,Prefeitura Municipal de Extrema,272,5
251235795032635,Itamar Borges,Itamar Borges,271,4
297785830288053,Rosenverg Reis de Oliveira,Rosenverg Reis de Oliveira,264,5
141670129347094,Elizeu Nascimento,Elizeu Nascimento,263,9
113005112093720,Aldo Solar,Aldo Solar,256,1
338601016235780,Capitão Wagner,Cap. Wagner,253,9
114466848198702,Brasil News,Francine De Almeida Viana Pereira,250,5
239977579362882,Blue3,Blue3 Investimentos,246,5
171342419582453,"CNC - Confederação Nacional do Comércio de Bens, Serviços e Turismo","CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO - CNC",231,25
224777780881144,Visão Mundial,Visão Mundial,230,16
111130822268479,IDP,"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa IDP - LTDA",226,9
1194027463946088,Roberto Cidade,ROBERTO MAIA CIDADE FILHO,226,3
669979576373645,Delegado Eduardo Boigues,Delegado Eduardo Boigues,224,19
7970426802,WWF-Brasil,WWF-Brasil,222,52
380752075612906,Deputado Cezar,Antonio da Rocha Marmo Cezar,218,9
391175961040598,ADE SAMPA,ADE SAMPA,210,5
1498647100170828,Prefeitos do Futuro,Prefeitos do Futuro Cursos e Treinamentos LTDA,208,8
109118887469889,Tarcisio Carvalho,Tarcisio Moreira De Carvalho,208,6
451370971560727,Tito,Carlos Tito Marques Cordeiro,207,1
433889123483814,Prefeitura do Prata,Prefeitura Municipal do Prata,207,2
403991616637353,MEU TUDO,These ads ran without a disclaimer,200,1
555593844558092,Julinho Fuzari,Julio Fuzari,200,1
1330553853730532,Davi Mateus,These ads ran without a disclaimer,200,1
448928461819807,Matheus Mafepi,Matheus Mafepi,199,2
101466471666939,Diogo Pernoca,Diogo Reis Da Costa,196,2
239624862864871,Relatório Reservado,Hush Comunicação,194,9
947900262029554,PETRONAS Syntium,These ads ran without a disclaimer,194,4
104648831582042,Prefeitura de Tupaciguara,Prefeitura de Tupaciguara,193,8
197587446941661,Valor Econômico,Editora Globo,192,8
