Location name,Amount spent (PKR)
Azad Kashmir,1967
Balochistan,3164
Federally Administered Tribal Areas,521
Gilgit-Baltistan,931
Islamabad Capital Territory,6115
Khyber Pakhtunkhwa,15857
Punjab,72318
Sindh,33434
Unknown,≤100
