Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1380
Bicol Region,6865
Cagayan Valley,3350
Calabarzon,19635
Caraga,2379
Central Luzon,12694
Central Visayas,7751
Cordillera Administrative Region,2568
Davao Region,6031
Eastern Visayas,4180
Ilocos Region,5223
Metro Manila,25597
Mimaropa,2846
Northern Mindanao,4499
Soccsksargen,4072
Unknown,≤100
Western Visayas,8918
Zamboanga Peninsula,3247
