Location name,Amount spent (COP)
Amazonas,1789
Antioquia,4230519
Arauca,88826
Atlantico,528181
Bolivar,222912
Boyaca,264770
Caldas,204662
Caqueta,42288
Casanare,54315
Cauca,195639
Cesar,90082
Choco,22575
Cordoba,108724
Cundinamarca,478543
Distrito Especial,1518794
Guainia,953
Guaviare,5078
Huila,368679
La Guajira,56141
Magdalena,193329
Meta,339762
Narino,85993
Norte de Santander,280433
Putumayo,150244
Quindio,110905
Risaralda,991543
San Andres y Providencia,6776
Santander,224786
Sucre,49985
Tolima,208182
Unknown,745
Valle del Cauca,2179752
Vaupes,275
Vichada,1007
