Location name,Amount spent (EUR)
Alsace,711
Aquitaine,1010
Auvergne,332
Basse-Normandie,425
Bourgogne,444
Bretagne,901
Centre,826
Champagne-Ardenne,355
Corse,118
Franche-Comté,288
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,974
Languedoc-Roussillon,972
Limousin,184
Lorraine,844
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,819
New Caledonia,≤100
Nord-Pas-de-Calais,1177
Pays de la Loire,1028
Picardie,551
Poitou-Charentes,484
Provence-Alpes-Côte d'Azur,1900
Reunion Island,≤100
Rhône-Alpes,1951
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3491
