Location name,Amount spent (PKR)
Azad Kashmir,748
Balochistan,1348
Federally Administered Tribal Areas,183
Gilgit-Baltistan,318
Islamabad Capital Territory,2667
Khyber Pakhtunkhwa,6564
Punjab,51948
Sindh,12622
Unknown,≤100
