Location name,Amount spent (USD)
Azuay Province,427
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,267
Cotopaxi Province,229
El Oro Province,583
Esmeraldas Province,267
Galápagos Province,≤100
Guayas Province,2285
Imbabura Province,227
Loja Province,303
Los Ríos Province,516
Manabí Province,895
Morona-Santiago Province,112
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1436
Santa Elena Province,128
Santo Domingo de los Tsáchilas Province,191
Sucumbíos Province,121
Tungurahua Province,517
Unknown,≤100
Zamora-Chinchipe Province,≤100
