Location name,Amount spent (PYG)
Alto Paraguay Department,86763
Alto Paraná Department,1474952
Amambay Department,121657
Asunción,1499454
Boquerón department,51085
Caaguazú Department,467848
Caazapá Department,86957
Canindeyú Department,118946
Central Department,4513646
Concepción Department (Paraguay),161627
Cordillera Department,295181
Guairá Department,136666
Itapúa Department,567623
Misiones Department,160472
Paraguarí Department,157670
Presidente Hayes Department,87259
San Pedro Department,214282
Unknown,1031
Ñeembucú Department,76887
