Location name,Amount spent (TWD)
Changhua,9480
Chiayi,1708
Hsinchu,3989
Hsinchu City,6725
Hualien,2847
Kaohsiung,33331
Keelung City,4197
Kinmen,664
Lienchiang,≤100
Miaoli,4338
Nantou,4310
New Taipei City,50521
Penghu,808
Pingtung,6304
Taichung,36478
Tainan,19949
Taipei,37999
Taitung,2204
Taoyuan City,30467
Unknown,4389
Yilan,3157
Yunlin,4830
