Location name,Amount spent (CAD)
Alberta,7027
British Columbia,9918
Manitoba,1909
New Brunswick,1242
Newfoundland and Labrador,922
Northwest Territories,314
Nova Scotia,1938
Nunavut,109
Ontario,35688
Prince Edward Island,225
Quebec,12407
Saskatchewan,1985
Unknown,≤100
Yukon,150
