Location name,Amount spent (AED)
Abu Dhabi,725
Dubai,456
Emirate of Ajman,151
Emirate of Sharjah,148
Fujairah,≤100
Ras al-Khaimah,≤100
Umm al-Quwain,≤100
Unknown,≤100
