Location name,Amount spent (NZD)
Auckland Region,6330
Bay of Plenty Region,1090
Canterbury,2070
Cook Islands,≤100
Gisborne District,155
Hawke's Bay,592
Manawatu-Wanganui,896
Marlborough Region,157
Nelson Province,221
Niue,≤100
Northland Region,617
Otago,808
Southland,348
Taranaki,570
Tasman District,144
Unknown,≤100
Waikato,1497
Wellington Region,1733
West Coast,108
