Location name,Amount spent (EGP)
Al Sharqia Governorate,1741
Alexandria Governorate,797
Aswan Governorate,212
Asyut Governorate,335
Beheira Governorate,466
Beni Suef Governorate,218
Cairo Governorate,2461
Dakahlia Governorate,889
Damietta Governorate,249
Faiyum Governorate,203
Gharbia Governorate,806
Giza Governorate,631
Ismailia Governorate,379
Kafr el-Sheikh Governorate,367
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,324
Monufia Governorate,430
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,294
Qalyubia Governorate,596
Qena Governorate,217
Red Sea Governorate,≤100
Sohag Governorate,331
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
