Location name,Amount spent (PLN)
Greater Poland Voivodeship,2870
Kuyavian-Pomeranian Voivodeship,1584
Lesser Poland Voivodeship,2726
Lower Silesian Voivodeship,2641
Lublin Voivodeship,1478
Lubusz Voivodeship,714
Masovian Voivodeship,5460
Opole Voivodeship,652
Podkarpackie Voivodeship,1241
Podlaskie Voivodeship,668
Pomeranian Voivodeship,1973
Silesian Voivodeship,3681
Unknown,≤100
Warmian-Masurian Voivodeship,1002
West Pomeranian Voivodeship,1617
Łódź Voivodeship,2134
Świętokrzyskie Voivodeship,723
