Location name,Amount spent (MXN)
Aguascalientes,11233
Baja California,38795
Baja California Sur,6159
Campeche,7540
Chiapas,23217
Chihuahua,32451
Coahuila de Zaragoza,158174
Colima,4059
Distrito Federal,273313
Durango,9188
Guanajuato,31650
Guerrero,16398
Hidalgo,12763
Jalisco,246190
Michoacán de Ocampo,24381
Morelos,19576
Nayarit,6380
Nuevo León,94830
Oaxaca,18290
Puebla,46396
Querétaro Arteaga,17798
Quintana Roo,30774
San Luis Potosi,16734
Sinaloa,7182
Sonora,20636
State of Mexico,437397
Tabasco,10504
Tamaulipas,23719
Tlaxcala,6228
Unknown,≤100
Veracruz,52282
Yucatán,23297
Zacatecas,7546
