Location name,Amount spent (SEK)
Blekinge County,3612
Dalarna County,7127
Gotland County,1646
Gävleborg County,7632
Halland County,7231
Jämtland County,3595
Jönköping County,9087
Kalmar County,5538
Kronoberg County,4536
Norrbotten County,6392
Skåne County,34020
Stockholm County,62682
Södermanland County,7189
Unknown,≤100
Uppsala County,10871
Värmland County,6640
Västerbotten County,7348
Västernorrland County,6212
Västmanland County,6976
Västra Götaland County,43943
Örebro County,7802
Östergötland County,10687
