Location name,Amount spent (PKR)
Azad Kashmir,1667
Balochistan,2504
Federally Administered Tribal Areas,548
Gilgit-Baltistan,906
Islamabad Capital Territory,4146
Khyber Pakhtunkhwa,14839
Punjab,64281
Sindh,21375
Unknown,≤100
