Location name,Amount spent (IDR)
Aceh,1837036
Bali,1946168
Bangka–Belitung Islands,503607
Banten,2873630
Bengkulu,896492
Central Java,9245798
Central Kalimantan,1145465
Central Sulawesi,1793242
East Java,14517653
East Kalimantan,1823856
East Nusa Tenggara,3231825
Gorontalo,1474983
Jakarta,6720795
Jambi,1275729
Lampung,2383625
Maluku,2668396
North Kalimantan,504974
North Maluku,1345387
North Sulawesi,4264302
North Sumatra,5483021
Papua (province),1610805
Riau,2751134
Riau Islands Province,936593
South Kalimantan,1206028
South Sulawesi,3141646
South Sumatra,3913672
Southeast Sulawesi,775070
Special Region of Yogyakarta,1288537
Unknown,13078
West Java,14526494
West Kalimantan,1722197
West Nusa Tenggara,2060121
West Papua,1009755
West Sulawesi,554062
West Sumatra,1660159
