Location name,Amount spent (PKR)
Azad Kashmir,1119
Balochistan,1387
Federally Administered Tribal Areas,172
Gilgit-Baltistan,606
Islamabad Capital Territory,1431
Khyber Pakhtunkhwa,9222
Punjab,25423
Sindh,11541
Unknown,≤100
