Location name,Amount spent (COP)
Amazonas,918
Antioquia,3346603
Arauca,62626
Atlantico,271584
Bolivar,185953
Boyaca,59375
Caldas,181849
Caqueta,26649
Casanare,40045
Cauca,202472
Cesar,85077
Choco,14306
Cordoba,105910
Cundinamarca,591841
Distrito Especial,2541561
Guainia,403
Guaviare,3050
Huila,228733
La Guajira,63620
Magdalena,283986
Meta,194210
Narino,88525
Norte de Santander,398733
Putumayo,46184
Quindio,109358
Risaralda,718926
San Andres y Providencia,4399
Santander,208643
Sucre,58753
Tolima,192379
Unknown,121
Valle del Cauca,2711288
Vaupes,215
Vichada,508
