Location name,Amount spent (CAD)
Alberta,10023
British Columbia,12568
Manitoba,3339
New Brunswick,1165
Newfoundland and Labrador,996
Northwest Territories,≤100
Nova Scotia,1518
Nunavut,≤100
Ontario,26782
Prince Edward Island,239
Quebec,16546
Saskatchewan,3200
Unknown,≤100
Yukon,≤100
