Location name,Amount spent (CAD)
Alberta,18691
British Columbia,12191
Manitoba,2110
New Brunswick,1555
Newfoundland and Labrador,732
Northwest Territories,≤100
Nova Scotia,2008
Nunavut,≤100
Ontario,40386
Prince Edward Island,243
Quebec,15518
Saskatchewan,2006
Unknown,≤100
Yukon,≤100
