Location name,Amount spent (SEK)
Blekinge County,3733
Dalarna County,7728
Gotland County,1785
Gävleborg County,8887
Halland County,8203
Jämtland County,4426
Jönköping County,9638
Kalmar County,5849
Kronoberg County,5050
Norrbotten County,7939
Skåne County,38620
Stockholm County,76418
Södermanland County,7945
Unknown,≤100
Uppsala County,11541
Värmland County,7226
Västerbotten County,7656
Västernorrland County,6855
Västmanland County,8183
Västra Götaland County,57550
Örebro County,8880
Östergötland County,12455
