Location name,Amount spent (TRY)
Adana Province,736
Adıyaman Province,102
Afyonkarahisar Province,554
Aksaray Province,≤100
Amasya Province,≤100
Ankara Province,1845
Antalya Province,1210
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,506
Ağrı Province,≤100
Balıkesir Province,344
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,127
Burdur Province,≤100
Bursa Province,881
Denizli Province,520
Diyarbakır Province,155
Düzce Province,≤100
Edirne Province,476
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,252
Gaziantep Province,834
Giresun Province,128
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,758
Isparta Province,120
Istanbul Province,6854
Iğdır Province,≤100
Kahramanmaraş Province,319
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,308
Kilis Province,≤100
Kocaeli Province,462
Konya Province,456
Kütahya Province,112
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,194
Malatya Province,165
Manisa Province,388
Mardin Province,≤100
Mersin Province,624
Muğla Province,269
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,168
Osmaniye Province,133
Rize Province,≤100
Sakarya Province,755
Samsun Province,907
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,284
Tokat Province,105
Trabzon Province,563
Tunceli Province,≤100
Unknown,≤100
Uşak Province,103
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,116
Çanakkale Province,287
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1817
Şanlıurfa Province,241
Şırnak Province,≤100
