Location name,Amount spent (ARS)
Buenos Aires,1633559
Catamarca,94520
Chaco,146334
Chubut,115810
Ciudad Autónoma de Buenos Aires,345142
Corrientes,79735
Córdoba,2105535
Entre Rios,128593
Formosa,46497
Jujuy,358314
La Pampa,553693
La Rioja,558101
Mendoza,132887
Misiones,1589679
Neuquén,32419
Río Negro,32872
Salta,1486343
San Juan,755853
San Luis,354302
Santa Cruz,54041
Santa Fe,558779
Santiago del Estero,28377
Tierra del Fuego,713745
Tucuman,425699
Unknown,169
