Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
234659001772,Arbeiderpartiet,Arbeiderpartiet,7259,15
135843375926,UNICEF Norge,UNICEF Norge,6109,22
371106536283235,DAG OG TID,Dag og Tid AS,3697,7
171540532874418,Arbeiderpartiet i Bergen,Arbeiderpartiet i Bergen,2010,4
183087034450,OBOS,OBOS,1613,1
132368899297,Framtiden i våre hender,Framtiden i våre hender,1469,17
198148715581,Vestfold og Telemark FrP,Vestfold og Telemark FrP,1373,4
10953652930,Høyre,Høyre,1092,49
157929987567626,Oslo MDG,OSLO MILJØPARTIET DE GRØNNE,1045,10
176370189723,SOR,Stiftelsen SOR,1016,1
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,999,16
141589002521022,Oslo Høyre,Oslo Høyre,793,9
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,717,7
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,714,1
100682016119457,Universitetsplassen - UiO,Universitetet i Oslo,675,5
239677012734267,Fredrikstad Høyre,Fredrikstad Høyre,596,2
277788629092,Med Israel for fred (MIFF),Med Israel for fred (MIFF),512,1
103057921635136,Folkets Parti Bergen,Foreningen FNB Bergen,509,6
2398568533531114,Velferdsmiks,NHO Geneo,497,13
20468812735,LO,LO,426,7
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,424,5
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,411,1
102203325950193,Ingvild Lemme Kristiansen,Stendi,375,3
11526489541,Senterpartiet,Senterpartiet,368,1
125526790826927,IOGT i Norge,IOGT i Norge,334,6
119787264706852,Trondheim FrP,Trondheim FrP,312,2
116972608335219,Naturvernforbundet,Naturvernforbundet,308,1
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,308,4
1281475135310961,Sissel Knutsen Hegdal - ordførerkandidat Høyre,Sissel Knutsen Hegdal,306,1
329095637110085,FRANTZ AS,Frantz as,297,2
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,291,1
107005018213171,Heia Nord-Norge,Heia Nord-Norge AS,289,1
117726821605303,PBL,Aurora Dyrnes,278,3
106613969124,Norsk Folkehjelp,Norsk Folkehjelp,274,3
134531249931603,Troms og Finnmark fylkeskommune,Troms og Finnmark fylkeskommune,245,2
123288564086337,Business Lite,These ads ran without a disclaimer,208,2
129925163706887,Oslo Dokumentarkino (The Oslo Documentary Cinema),Oslo Dokumentarkino,201,1
157803497575876,NHO Reiseliv,NHO Reiseliv,199,1
1878112455548367,Utøya - Et sted som engasjerer,Utøya AS,185,1
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,182,7
536745556722065,Lillestrøm FrP,Lillestrøm FrP,168,1
162779380400712,Nansen Fredssenter,Nansen Fredssenter,153,2
119878348024795,ULOBA,Uloba - Independent Living Norge,151,51
100970626156019,Kent Ranum - Ordførerkandidat Høyre,Kent Ranum - Ordførerkandidat Høyre,151,1
120374971332864,Kagge Forlag,Kagge Forlag,151,3
156202914404133,Minerva,Mediehuset Minerva,147,1
113006005045036,Attack konferansen,Attack konferansen,147,4
91007335905,Aurskog-Høland Arbeiderparti,Steinar Ottesen,140,2
148389115200561,Kristiansand Venstre,Kristiansand Venstre,135,1
