Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
421574011322217,Alcaldía del Distrito Central,Alcaldía del Distrito Central,4483,8
1392592317738074,Jorge Cálix,Jorge Cálix,3065,8
114601521910,Jorge Aldana,Jorge  Aldana,875,8
1619479898324505,Partido Liberal de Honduras,Partido Liberal de Honduras,536,2
153003381515332,Cespad - Centro de Estudio para la Democracia,Centro de Estudio para la Democracia (Cespad),213,2
158158757637896,Alianza Paz y Justicia,Alianza Paz y Justicia,197,1
112333800693678,Hugo Noé Pino Diputado F.M,Daniel Andres Casula Salinas,168,1
459107311130639,Dr. Luther Harry,Dr. Luther Harry,≤100,1
486382251906084,Honduras El Pais,Diario El  Pais.hn,≤100,2
103825695591860,Josue Colindres Diputado,Johana Elizabeth Colindres Castellanos,≤100,1
946133165540703,Expediente Público,These ads ran without a disclaimer,≤100,1
587453818082309,ElHospital.com,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,2
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,1
1407514189462890,Carlos Master Muñoz,These ads ran without a disclaimer,≤100,3
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,1
167810553565549,Conor O'Neill - The Everyday Athlete Program,These ads ran without a disclaimer,≤100,3
116373134780373,Emprende con Reparaciones y Mantenimiento,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
107952565612386,Academia de Técnicos Profesionales,These ads ran without a disclaimer,≤100,1
116308369063243,Kambria,These ads ran without a disclaimer,≤100,1
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100,1
324014361275123,ETprojectMusic,These ads ran without a disclaimer,≤100,1
