Location name,Amount spent (DKK)
Capital Region of Denmark,39042
Central Denmark Region,17237
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7674
Region of Southern Denmark,15968
Unknown,≤100
Zealand Region,12541
