Location name,Amount spent (CZK)
Central Bohemian Region,9213
Hradec Králové Region,3885
Karlovy Vary Region,2065
Liberec Region,3060
Moravian-Silesian Region,8250
Olomouc Region,4541
Pardubice Region,3684
Plzeň Region,4553
Prague,18061
South Bohemian Region,4337
South Moravian Region,10203
Unknown,≤100
Vysočina Region,3086
Zlín Region,3895
Ústí nad Labem Region,6157
