Location name,Amount spent (MXN)
Aguascalientes,2921
Baja California,12615
Baja California Sur,2177
Campeche,14605
Chiapas,8159
Chihuahua,11072
Coahuila de Zaragoza,8377
Colima,1987
Distrito Federal,59949
Durango,4471
Guanajuato,35682
Guerrero,6427
Hidalgo,6584
Jalisco,24305
Michoacán de Ocampo,17480
Morelos,5632
Nayarit,2758
Nuevo León,28217
Oaxaca,7370
Puebla,12160
Querétaro Arteaga,8865
Quintana Roo,9823
San Luis Potosi,14395
Sinaloa,7016
Sonora,9653
State of Mexico,70901
Tabasco,7069
Tamaulipas,12730
Tlaxcala,2484
Unknown,≤100
Veracruz,15230
Yucatán,17104
Zacatecas,3336
