Location name,Amount spent (SEK)
Blekinge County,3186
Dalarna County,6737
Gotland County,1499
Gävleborg County,7424
Halland County,7083
Jämtland County,3673
Jönköping County,7913
Kalmar County,5027
Kronoberg County,4004
Norrbotten County,6223
Skåne County,32544
Stockholm County,60784
Södermanland County,7855
Unknown,≤100
Uppsala County,10069
Värmland County,5983
Västerbotten County,7159
Västernorrland County,5902
Västmanland County,6111
Västra Götaland County,41429
Örebro County,6679
Östergötland County,9931
