Location name,Amount spent (GTQ)
Alta Verapaz Department,257
Baja Verapaz Department,≤100
Chimaltenango Department,194
Chiquimula Department,153
El Progreso Department,≤100
Escuintla Department,262
Guatemala Department,14330
Huehuetenango Department,348
Izabal Department,219
Jalapa Department,≤100
Jutiapa Department,164
Petén Department,167
Quetzaltenango Department,408
Quiché Department,225
Retalhuleu Department,147
Sacatepéquez Department,157
San Marcos Department,770
Santa Rosa Department,105
Sololá Department,150
Suchitepéquez Department,289
Totonicapán Department,118
Unknown,≤100
Zacapa Department,107
