Location name,Amount spent (INR)
Andaman and Nicobar Islands,409
Andhra Pradesh,50516
Arunachal Pradesh,2640
Assam,38214
Bihar,105585
Chandigarh,3885
Chhattisgarh,54918
Dadra and Nagar Haveli,2363
Delhi,59233
Goa,3419
Gujarat,88893
Haryana,45473
Himachal Pradesh,19055
Jammu and Kashmir,19623
Jharkhand,32399
Karnataka,134258
Kerala,29670
Lakshadweep,≤100
Madhya Pradesh,80226
Maharashtra,184138
Manipur,4622
Meghalaya,125006
Mizoram,1685
Nagaland,1896
Odisha,28134
Puducherry,2832
Punjab region,54470
Rajasthan,98511
Sikkim,1754
Tamil Nadu,51510
Telangana,49032
Tripura,72659
Unknown,120
Uttar Pradesh,190043
Uttarakhand,22216
West Bengal,102240
