Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
10677003998,Shelter,Shelter,9874,374
311627208673,WWF UK,WWF UK,8416,75
220543443746,International Rescue Committee - UK,International Rescue Committee UK,7373,130
7715002593,UNICEF UK,Unicef UK,5647,24
97708339756,Action for Children,Action for Children,4702,67
9250349228,Greenpeace UK,Greenpeace UK,3615,34
102639461303190,Fair Pay For All,Fair Pay For All,3500,87
7624294394,Amnesty International UK,Amnesty International UK,2395,86
21242962092,ClientEarth,ClientEarth,2107,68
37981137361,The Children's Society,The Children's Society,1917,71
514212165305248,Leigh Day,Leigh Day,1912,36
208573062515662,Freedom from Torture,Freedom from Torture,1830,105
799576543492660,The Week Junior,The Week Junior,1805,53
26698813123,British Red Cross,British Red Cross,1714,51
158077247591710,Refuge,Refuge,1271,37
7527864602,WaterAid UK,WaterAid UK,1259,60
13047522725,Crimestoppers,Crimestoppers,1156,116
35671512696,World Animal Protection UK,World Animal Protection UK,1150,41
91484672241,Toilet Twinning,Toilet Twinning,1137,35
121936349543,World Vision UK,World Vision UK,1081,27
166335402260,Scottish Water,Scottish Water,1066,17
348366988862054,Oxfam Campaigns,Oxfam Great Britain,971,1
117476785190,Save the Children UK,Save the Children UK,953,8
13533633585,National Trust,National Trust,924,2
39605200520,ActionAid UK,ActionAid UK,918,43
7715002593,UNICEF UK,UNICEF UK with Facebook Ad Credits,906,6
165099760197787,Welsh Government,Welsh Government,824,199
18044497940,Plan International UK,Plan International UK,819,99
1613092172114946,DWP Digital,Department for Work and Pensions,793,4
30349161852,Eden Project,Eden Project,759,11
177855115588808,The Week UK,The Week UK,753,34
268801635305,Breast Cancer Now,Breast Cancer Now,728,6
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),691,63
1660600037490738,Guardian Labs,Guardian Labs,658,31
353224381469808,ifaw,IFAW,654,15
200480966638039,Supremacy 1914,These ads ran without a disclaimer,622,1
722939897742608,The Co-operative Bank,The Co-operative Bank,593,12
1645963095654688,Healthier Scotland,The Scottish Government,584,18
246872175166,Action Against Hunger UK,Action Against Hunger UK,583,66
