Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1240
Bicol Region,7406
Cagayan Valley,3142
Calabarzon,19109
Caraga,2899
Central Luzon,12102
Central Visayas,9258
Cordillera Administrative Region,2365
Davao Region,5447
Eastern Visayas,4171
Ilocos Region,4736
Metro Manila,34368
Mimaropa,2422
Northern Mindanao,4251
Soccsksargen,3580
Unknown,≤100
Western Visayas,8024
Zamboanga Peninsula,3078
