Location name,Amount spent (USD)
Abkhazia,≤100
Adjara,254
Guria,≤100
Imereti,249
Kakheti,≤100
Kvemo Kartli,112
Mtskheta-Mtianeti,≤100
Racha-Lechkhumi and Kvemo Svaneti,≤100
Samegrelo-Zemo Svaneti,142
Samtskhe-Javakheti,≤100
Shida Kartli,122
Tbilisi,1074
Unknown,≤100
