Location name,Amount spent (NOK)
Akershus,3638
Aust-Agder,695
Buskerud,1767
Finnmark,579
Hedmark,1342
Hordaland,3539
Møre og Romsdal,2212
Nord-Trøndelag,990
Nordland,2114
Oppland,1288
Oslo,8712
Rogaland,2930
Sogn og Fjordane,819
Sør-Trøndelag,1967
Telemark,1075
Troms,1309
Unknown,≤100
Vest-Agder,1356
Vestfold,1506
Østfold,1903
