Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,427
Apurímac Region,114
Arequipa Region,489
Ayacucho Region,226
Cajamarca Region,388
Callao,215
Cusco Region,426
Huancavelica Region,≤100
Huánuco Region,213
Ica Region,377
Junín Region,383
La Libertad Region,703
Lambayeque Region,501
Lima Region,3290
Loreto Region,309
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,726
Puno Region,440
San Martín Region,292
Tacna Region,151
Tumbes Region,112
Ucayali Region,222
Unknown,≤100
