Location name,Amount spent (AUD)
Australian Capital Territory,1189
Jervis Bay Territory,≤100
New South Wales,21133
Norfolk Island,≤100
Northern Territory,622
Queensland,14249
South Australia,4319
Tasmania,2523
Unknown,≤100
Victoria,22661
Western Australia,7299
