Location name,Amount spent (EGP)
Al Sharqia Governorate,1628
Alexandria Governorate,1203
Aswan Governorate,526
Asyut Governorate,420
Beheira Governorate,640
Beni Suef Governorate,298
Cairo Governorate,3691
Dakahlia Governorate,1166
Damietta Governorate,353
Faiyum Governorate,261
Gharbia Governorate,804
Giza Governorate,1427
Ismailia Governorate,282
Kafr el-Sheikh Governorate,520
Luxor Governorate,139
Matrouh Governorate,≤100
Minya Governorate,495
Monufia Governorate,640
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,346
Qalyubia Governorate,941
Qena Governorate,308
Red Sea Governorate,124
Sohag Governorate,451
South Sinai Governorate,≤100
Suez Governorate,123
Unknown,≤100
