Location name,Amount spent (PYG)
Alto Paraguay Department,216
Alto Paraná Department,330003
Amambay Department,30395
Asunción,584735
Boquerón department,15254
Caaguazú Department,154368
Caazapá Department,35752
Canindeyú Department,42074
Central Department,1968031
Concepción Department (Paraguay),37363
Cordillera Department,113828
Guairá Department,62865
Itapúa Department,146223
Misiones Department,128506
Paraguarí Department,92774
Presidente Hayes Department,66838
San Pedro Department,58738
Unknown,≤100
Ñeembucú Department,117245
