Location name,Amount spent (TWD)
Changhua,9774
Chiayi,4828
Hsinchu,6336
Hsinchu City,8666
Hualien,3667
Kaohsiung,32319
Keelung City,4496
Kinmen,586
Lienchiang,≤100
Miaoli,4475
Nantou,3565
New Taipei City,48226
Penghu,820
Pingtung,6764
Taichung,38825
Tainan,20432
Taipei,38814
Taitung,2151
Taoyuan City,28016
Unknown,12601
Yilan,3549
Yunlin,5976
