Location name,Amount spent (MXN)
Aguascalientes,4273
Baja California,22440
Baja California Sur,8310
Campeche,23249
Chiapas,13097
Chihuahua,20021
Coahuila de Zaragoza,50500
Colima,8244
Distrito Federal,117212
Durango,4860
Guanajuato,45014
Guerrero,7870
Hidalgo,8685
Jalisco,105398
Michoacán de Ocampo,26356
Morelos,17131
Nayarit,2551
Nuevo León,89446
Oaxaca,10296
Puebla,18732
Querétaro Arteaga,25075
Quintana Roo,23564
San Luis Potosi,17449
Sinaloa,8502
Sonora,14415
State of Mexico,56696
Tabasco,13490
Tamaulipas,25974
Tlaxcala,3375
Unknown,≤100
Veracruz,20213
Yucatán,14006
Zacatecas,4905
