Location name,Amount spent (VND)
An Giang Province,81159
Bà Rịa–Vũng Tàu Province,114173
Bình Dương Province,340164
Bình Phước Province,88714
Bình Thuận Province,186168
Bình Định Province,102617
Bạc Liêu Province,32080
Bắc Giang Province,590009
Bắc Kạn Province,17412
Bắc Ninh Province,378345
Bến Tre Province,57857
Cao Bằng Province,36712
Cà Mau Province,63263
Cần Thơ,90224
Da Nang,245756
Gia Lai Province,86867
Haiphong,243644
Ho Chi Minh City,2145922
Hà Giang Province,65755
Hà Nam Province,98544
Hà Tĩnh Province,129157
Hòa Bình Province,106121
Hưng Yên Province,215229
Hải Dương Province,369040
Hậu Giang Province,14497
Khánh Hòa Province,101373
Kiên Giang Province,80797
Kon Tum Province,27059
Lai Châu Province,14380
Long An Province,153385
Lào Cai Province,83458
Lâm Đồng Province,215520
Lạng Sơn Province,82428
Nam Định Province,160372
Nghệ An Province,273286
Ninh Bình Province,122640
Ninh Thuận Province,35901
Phú Thọ Province,504124
Phú Yên Province,50958
Quảng Bình Province,64732
Quảng Nam Province,149475
Quảng Ngãi Province,138509
Quảng Ninh Province,211549
Quảng Trị Province,34127
Sóc Trăng Province,60275
Sơn La Province,96006
Thanh Hóa Province,399833
Thái Bình Province,208933
Thái Nguyên Province,157238
Thừa Thiên–Huế Province,80749
Tiền Giang Province,89410
Trà Vinh Province,38451
Tuyên Quang Province,172637
Tây Ninh Province,332718
Unknown,≤100
Vĩnh Long Province,44522
Vĩnh Phúc Province,243405
Yên Bái Province,110763
Điện Biên Province,87460
Đắk Lắk Province,253706
Đắk Nông Province,61154
Đồng Nai Province,392016
Đồng Tháp Province,63815
