Location name,Amount spent (EUR)
Bjelovar-Bilogora County,≤100
Brod-Posavina County,≤100
Dubrovnik-Neretva County,≤100
Istria County,≤100
Karlovac County,≤100
Koprivnica-Križevci County,≤100
Krapina-Zagorje County,≤100
Lika-Senj County,≤100
Međimurje County,≤100
Osijek-Baranja County,≤100
Požega-Slavonia County,≤100
Primorje-Gorski Kotar County,≤100
Sisak-Moslavina County,≤100
Split-Dalmatia County,110
Unknown,≤100
Varaždin County,≤100
Virovitica-Podravina County,≤100
Vukovar-Srijem County,≤100
Zadar County,≤100
Zagreb,289
Zagreb County,≤100
Šibenik-Knin County,≤100
