Location name,Amount spent (NZD)
Auckland Region,3890
Bay of Plenty Region,713
Canterbury,1628
Cook Islands,≤100
Gisborne District,104
Hawke's Bay,383
Manawatu-Wanganui,645
Marlborough Region,120
Nelson Province,164
Niue,≤100
Northland Region,428
Otago,591
Southland,251
Taranaki,303
Tasman District,≤100
Unknown,≤100
Waikato,1081
Wellington Region,1139
West Coast,≤100
