Location name,Amount spent (MXN)
Aguascalientes,8090
Baja California,21540
Baja California Sur,7631
Campeche,12317
Chiapas,10691
Chihuahua,20052
Coahuila de Zaragoza,59277
Colima,2919
Distrito Federal,111972
Durango,4071
Guanajuato,38485
Guerrero,7722
Hidalgo,6666
Jalisco,96873
Michoacán de Ocampo,17476
Morelos,9796
Nayarit,2933
Nuevo León,103022
Oaxaca,11139
Puebla,20462
Querétaro Arteaga,20148
Quintana Roo,26807
San Luis Potosi,13511
Sinaloa,9639
Sonora,13683
State of Mexico,52552
Tabasco,8537
Tamaulipas,17323
Tlaxcala,3212
Unknown,≤100
Veracruz,20146
Yucatán,18459
Zacatecas,4477
