Location name,Amount spent (EGP)
Al Sharqia Governorate,3955
Alexandria Governorate,1384
Aswan Governorate,223
Asyut Governorate,485
Beheira Governorate,832
Beni Suef Governorate,326
Cairo Governorate,3355
Dakahlia Governorate,1552
Damietta Governorate,493
Faiyum Governorate,324
Gharbia Governorate,1463
Giza Governorate,1115
Ismailia Governorate,529
Kafr el-Sheikh Governorate,751
Luxor Governorate,150
Matrouh Governorate,≤100
Minya Governorate,586
Monufia Governorate,769
New Valley Governorate,≤100
North Sinai Governorate,107
Port Said Governorate,544
Qalyubia Governorate,2150
Qena Governorate,380
Red Sea Governorate,133
Sohag Governorate,527
South Sinai Governorate,≤100
Suez Governorate,176
Unknown,≤100
