Location name,Amount spent (CLP)
Antofagasta Region,132543
Araucanía Region,128878
Arica y Parinacota Region,60090
Atacama Region,36518
Aysén Region,22707
Bío Bío Region,263088
Coquimbo Region,144424
Los Lagos Region,144875
Los Ríos Region,55861
Magallanes y la Antártica Chilena Region,26187
Maule Region,153611
O'Higgins Region,145780
Santiago Metropolitan Region,868860
Tarapacá Region,58400
Unknown,≤100
Valparaíso Region,203371
